city_ascii,lat,lng,country,capital,population
Lusaka,-15.4167,28.2833,Zambia,primary,1747152
Indianapolis,39.7771,-86.1458,United States,admin,1740984
Hyderabad City,25.3792,68.3683,Pakistan,minor,1732693
Pimpri-Chinchwad,18.6186,73.8037,India,,1729320
Maracay,10.2469,-67.5961,Venezuela,admin,1723236
Masqat,23.614,58.5911,Oman,,1720000
Montevideo,-34.9056,-56.1842,Uruguay,primary,1719453
Pittsburgh,40.4397,-79.9763,United States,,1712828
Cincinnati,39.1413,-84.506,United States,,1704916
Manhattan,40.7834,-73.9662,United States,,1694263
Kansas City,39.1238,-94.5541,United States,,1686807
Budapest,47.4983,19.0408,Hungary,primary,1686222
Patna,25.594,85.1376,India,admin,1684222
Kampala,0.3136,32.5811,Uganda,primary,1680600
Beihai,21.481,109.12,China,minor,1680000
Sanzhou,30.82,108.4,China,,1680000
Cleveland,41.4764,-81.6805,United States,,1679247
Conakry,9.5092,-13.7122,Guinea,primary,1667864
Ximeicun,24.9612,118.3849,China,,1663542
Caloocan City,14.65,120.97,Philippines,admin,1661584
Ecatepec,19.6097,-99.06,Mexico,minor,1655015
Yushan,31.322,120.985,China,minor,1652159
Fuxin,42.022,121.67,China,,1647280
Novosibirsk,55.05,82.95,Russia,admin,1633851
Bilaspur,22.09,82.15,India,,1625502
Semarang,-6.99,110.4225,Indonesia,admin,1621384
Jingdezhen,29.2917,117.1986,China,minor,1618979
Ludhiana,30.91,75.85,India,,1618879
Liaoyang,41.279,123.176,China,,1604580
Jiangyin,31.839,120.295,China,,1595138
Valencia,39.47,-0.3764,Spain,admin,1595000
Shuozhou,39.3317,112.4329,China,minor,1593444
Leon de los Aldama,21.1167,-101.6833,Mexico,minor,1579803
Columbus,39.9862,-82.9855,United States,admin,1578153
Puebla,19.0333,-98.1833,Mexico,admin,1576259
Bien Hoa,10.95,106.8167,Vietnam,admin,1575000
Chengtangcun,35.0833,117.15,China,,1574648
Yopougon,5.3748,-4.0867,Côte d’Ivoire,,1571065
Hebi,35.748,114.297,China,,1565973
Shiraz,29.61,52.5425,Iran,admin,1565572
Dushanbe,38.5367,68.78,Tajikistan,primary,1564700
Madurai,9.9252,78.1198,India,minor,1561129
Huzhou,30.8925,120.0875,China,minor,1558826
Harare,-17.8292,31.0522,Zimbabwe,primary,1558823
Tabriz,38.0817,46.2992,Iran,admin,1558693
Jamshedpur,22.7925,86.1842,India,,1558000
Baicheng,45.62,122.838,China,minor,1551378
San Jose,9.9325,-84.08,Costa Rica,primary,1543000
Shaoyang,32.912,119.8526,China,minor,1542600
San Salvador,13.6989,-89.1914,El Salvador,primary,1538525
Palembang,-2.9861,104.7556,Indonesia,admin,1535952
Kawasaki,35.5167,139.7,Japan,,1531646
Kobe,34.69,135.1956,Japan,admin,1521707
Jiaxing,30.747,120.756,China,minor,1518654
Zhangjiajie,29.117,110.479,China,minor,1517027
Baiyin,36.5451,104.1389,China,minor,1512110
Guiping,23.4,110.0833,China,minor,1511011
Changshu,31.656,120.753,China,,1510100
Jixi,45.295,130.969,China,minor,1502060
Xushan,30.1667,121.2333,China,minor,1502000
Lome,6.1308,1.2153,Togo,primary,1500000
Niamey,13.515,2.1175,Niger,primary,1496260
Gwangju,35.1653,126.8486,"Korea, South",admin,1490092
Recife,-8.0539,-34.8808,Brazil,admin,1488920
Nasik,19.9975,73.7898,India,,1486053
Abu Dhabi,24.4667,54.3667,United Arab Emirates,primary,1483000
Onitsha,6.1667,6.7833,Nigeria,minor,1483000
Amsterdam,52.3728,4.8936,Netherlands,primary,1477213
Vijayawada,16.5193,80.6305,India,,1476931
Zapopan,20.7167,-103.4,Mexico,minor,1476491
Daejeon,36.35,127.385,"Korea, South",admin,1475221
Bronx,40.8501,-73.8662,United States,,1472654
Auckland,-36.8492,174.7653,New Zealand,admin,1470100
Yekaterinburg,56.8356,60.6128,Russia,admin,1468833
Wuwei,37.929,102.638,China,minor,1464955
Jinhua,29.079,119.647,China,minor,1463990
Kyoto,35.0117,135.7683,Japan,admin,1463723
Pizhou,34.398,117.89,China,,1458038
Yangshe,31.8767,120.556,China,minor,1447600
Dakar,14.6726,-17.432,Senegal,primary,1438725
Charlotte,35.2083,-80.8303,United States,,1436613
Yucheng,30.01,103.0415,China,minor,1434603
Kayseri,38.7225,35.4875,Turkey,admin,1434357
Virginia Beach,36.7335,-76.0435,United States,,1431821
Rui'an,27.7833,120.625,China,,1424667
Muscat,23.6139,58.5922,Oman,primary,1421409
Kharkiv,49.9925,36.2311,Ukraine,admin,1421125
Pointe-Noire,-4.7975,11.8503,Congo (Brazzaville),admin,1420612
Medina,24.47,39.61,Saudi Arabia,admin,1411599
Sangereng,-6.2889,106.7181,Indonesia,,1404785
Faridabad,28.4211,77.3078,India,,1404653
Sofia,42.6979,23.3217,Bulgaria,primary,1404116
Ulaanbaatar,47.9214,106.9055,Mongolia,primary,1396288
Adelaide,-34.9275,138.6,Australia,admin,1387290
